2000 1
912908727 909993663
829925823 718878688 3059333
299772185 574882447 496792
717085500 428110224 812992
331243465 193972852 3684361
121154770 620712835 7294116
57935878 321994749 6473642
492922755 88497287 1051017
737805964 223667334 6153988
590815738 863747674 1305829
467986508 277631152 6884739
537791275 897086701 1161778
888243186 150975847 2336400
441638328 484409181 6991364
526928634 655859579 689739
755184983 438020358 2583689
21391282 542260835 287170
129260445 179054771 7676712
813340366 647158899 3811780
316311332 866943249 5061685
111157896 144144035 11326257
710768903 608242785 2839813
135244242 778830182 8812147
820089660 72672605 3523203
288978261 741042980 2803743
14488112 669692239 2772894
47135792 158859105 5904220
328667932 379586486 9537882
419763491 361343950 1064
118150598 73825830 6949136
418347717 270640182 9579712
472390860 800900975 4498699
684383531 496367624 2600648
595100467 373551583 7214331
453985299 373587469 789592
581964115 616003714 2675362
490369150 348554005 2224823
268556955 476841096 2705720
809712890 339492533 5533139
514862018 223300587 7615288
201315204 148449358 5821026
17008884 797867668 9249198
534334710 733671415 3167558
645525088 603719452 2969320
204038154 611076590 6377756
110351192 402308543 1110477
85208093 387821660 7276651
473590393 392893920 10168177
405794795 7199151 2459940
218574907 573458424 1166855
810091864 615528266 7605104
664635905 615345139 8487448
147652285 908981136 614905
530815079 756698300 31759
161639507 352595412 576836
496609694 859835409 6506505
58416012 48127819 5558183
15975201 138510271 4987399
823807310 18441630 5817193
802613650 463547936 561828
294108999 652104756 7608493
248661204 882055629 2443742
313132108 431257729 6469367
561416990 856757806 875390
232763629 25024571 2957963
659596908 372257292 5765571
260533808 374779913 6713495
721061842 448405947 4037711
677233559 277329190 4535468
259122457 117680523 5675375
442089559 575359234 6502323
230746856 192684010 1104164
203569519 88992834 5541678
158349770 670001720 6857020
455011825 248895519 746393
128992098 210062900 2008760
347086149 866686985 1157552
857111616 387754919 1758078
558173491 811227813 3744871
800490174 578653638 1322408
350583790 222695935 7338760
827749409 82644938 2697701
721403344 819572606 78826
114834186 758195573 1178161
640060984 464160070 5411803
259027435 492975981 6105954
214044021 109721043 1629969
72451565 802165181 5300271
717929818 560737356 5138035
551276664 870875226 4261445
284024283 878510307 9932222
499740789 145665230 4838445
137609466 374895654 3194422
587141687 196530968 210275
290448174 849176260 7772198
216923678 677717844 771796
513095386 354588478 2979868
108488886 736914181 1192989
204356049 547088226 5874998
643125313 75881190 5723577
334864199 398036112 5402814
867650944 294500257 3012714
590141097 234341009 7945973
288731757 630061833 7435654
709356612 410081517 6461600
417248104 483539641 819284
652463451 328816244 7961759
628820463 220360085 5000020
569833273 116123573 8834460
699963340 624740832 6121180
302547630 201190270 8411646
306880340 880175996 2141531
231067032 180904063 6940553
272783104 585287963 2019056
406848330 443143498 5705600
67011327 751726290 4435618
827296957 141312352 1622401
819186479 386802434 8744155
801109399 93741664 872630
475567063 203854718 8071388
866433322 145332397 2699823
632937558 535532149 7647473
268477560 322471686 6927366
838105279 607138093 4024466
423149570 228880461 862036
433886320 414758789 7012939
659583012 804947859 1886510
421470152 340445855 5337445
187768294 618259008 5039949
382673160 134162806 288988
427859121 601326995 8941686
193127863 422000606 4469005
378829626 689212151 2772692
726606125 651700223 2631212
598866590 873107908 3262232
21378028 452195218 8421405
176527290 439880366 2860208
553410777 343270767 3878976
748253597 514218027 471193
666177864 694958785 638306
551335974 69534101 10195584
244877724 899384278 2837050
229623053 256634685 8305732
33591361 230755678 2178531
837525787 121935467 4023191
146361569 283603866 8820395
576202242 802393733 8624788
742989450 466865956 7669500
65171811 895719303 4388973
890976960 781389806 2728443
198105220 686701176 8986108
904198660 876860302 3531388
708121834 363115943 964530
535356760 600731591 5200164
249790641 98440700 6067621
756006382 601330159 3657224
404481304 895911459 3438188
333876042 819611434 6050509
384019584 392760830 6981346
796111561 227051672 2165210
784207216 316929160 2489009
820478841 287405665 8663260
58238054 521621892 4146897
345798788 528774763 6626099
351143408 746201951 3880676
99787029 826315603 6814878
854120382 594228247 9685664
726053268 54614194 2103388
631288992 59248733 4954063
57038422 570091533 5783471
180824046 599681312 8246394
487163375 523169159 9031102
720593404 299739559 263048
827356688 481672226 6199530
156105999 405708083 2657427
740690519 563748182 3404520
542643052 626873804 4826664
767170311 297159431 4065080
210987055 246910897 6133620
233837322 340069188 7139239
377372813 244363785 1226576
746270509 320866127 2413118
621905664 649596803 846792
615208386 219493997 177634
334636416 203892999 2317394
467521535 642208343 7733165
549892472 842767319 5723973
186272372 801667008 874964
882252992 615926500 1784096
126088908 830495399 7145037
890425105 310039092 9066394
113442773 320623897 8842312
459670248 547855447 6728348
396791196 701628477 3247245
12582295 496184134 6884739
259309442 906287368 1566220
197882425 223578621 456602
864103888 127318234 660166
116004726 852872566 176421
54580826 656439633 2145121
445806591 262635171 2891625
430172570 719143768 3252558
321401355 561805981 4988481
172996281 618887456 3820471
423614655 684482671 2295356
177329112 281236795 212258
27932243 172553596 3518160
490756961 578340869 4754318
695378613 691992971 9222127
449157642 14784190 8505368
861147654 252084288 506367
835350661 65651328 6837398
798950669 796689070 4849079
321790000 71747739 6760240
162354411 879380698 3329863
442119772 757716308 2331902
771768029 172505826 6235421
451241390 735244616 6167316
282231789 585554618 2352524
884355678 88473211 5114882
504618643 33583387 5788116
672915871 37169642 2797856
555210394 768256481 6337148
499881640 666545158 4728832
493780193 277894966 2642691
895030997 849806157 5866129
436231081 527707136 8878817
407019107 905099088 2163050
665603361 596728120 5420394
458791684 532229309 5749776
452133589 112901123 555162
176860374 798434854 2574379
161885396 410856796 1998240
281946937 899124893 3689190
894863206 244245793 6036128
806369332 442844351 5228500
398642743 614265022 6384785
20644746 424006051 6791576
523796911 495499684 5257823
674810751 427389476 8306516
664375471 262605610 7408892
900692305 273573996 5209593
300457624 560582439 7199701
542435002 356235693 9588129
359628756 356777011 2797129
623080587 345808864 1282133
741319893 869982285 6859226
688448557 41702189 724980
669583363 316411640 2705427
713395249 508759586 6939610
386281320 375664918 2369268
151578796 389016455 3042217
529440146 72606181 210463
132808427 688232289 7402705
203016967 776280495 6223054
597954535 347871881 7066358
826590523 153630328 3422152
8535157 49286668 1701778
666311430 230853289 4835552
631947853 508209861 1292941
91076944 365576157 2169189
863374802 783756191 3037756
793258331 818991437 7829575
592651211 811744463 2521660
257968873 170651229 3226839
836878173 387543745 3727538
625452840 773977422 4812413
696315488 441420750 5026923
510358146 105350312 2240192
90300068 498723165 8493312
178130441 637642823 5658282
568795350 495057891 8057242
392163814 487231339 2770252
356512508 831199664 10545589
834218106 98071370 7407753
76946568 354990510 5338713
193733967 530773752 6306814
221521735 29011073 1704620
148163283 118714747 497496
698143824 187889122 4546207
647857645 355115012 5965776
33000009 52251749 2054565
367022556 175720668 8826639
305058514 128809951 10234424
162962694 637782792 4136564
420290669 888743516 1290489
56374584 433567679 8211939
154552074 798601441 6871161
383726768 896093054 9127295
837130894 48896233 3067863
538093482 582652048 282180
667142553 103962892 4708598
689074428 887091069 4344342
386824753 557437885 8735711
70454437 463543111 2207990
751108664 12545811 3416817
260938479 177358264 425406
303365391 508545589 314272
257979701 519415432 6869816
397005751 75918509 9023479
54179518 398077832 622992
290596478 335575778 8758608
649572102 305366925 6802501
820112259 312207500 7866435
520614471 34929985 2175776
442848309 558614517 1731957
412806945 347199594 2497376
649242708 285857992 5935259
892248158 638437344 6772385
882013965 552212464 3214097
381783050 738998044 1729550
375786021 195138384 7932341
239095037 514621041 6191084
271619132 838166817 5407439
595432475 690496638 5150510
39610802 781840521 5736311
27336968 209965335 1420431
452274314 320367040 523120
315143571 248097134 8678845
575354111 14384034 1639818
464655341 422705964 221645
497016792 589446669 3026932
575816746 704021512 3758236
301700649 529475801 203428
691146101 731604821 2034735
590042475 629466939 7749748
885036478 106412700 3353062
97430762 227398579 7931670
622656239 561252646 8079631
17049876 476185744 1160539
537740373 613445017 1721833
371445590 875338768 5080108
789697063 390428952 4272455
97343347 158933062 4240118
284307228 570953401 6017833
152474249 639316108 180458
699493533 42834992 4849758
825334116 360392170 4989188
832889747 183883964 3135461
102231006 51687709 3046585
870390588 677920771 3855192
860684430 241382946 1467353
207552684 66684235 5506514
818370551 413150832 4045349
161762086 38965877 7354538
293905601 577259172 1585049
713984920 761845620 8968163
391720863 281425331 8835048
470736057 605740203 8251403
609595115 97905459 6168906
408088323 138098249 9845592
547513382 325436396 7200157
28592675 884073321 2568276
467942564 753798854 3605912
784977855 614657768 11729698
110755889 106024440 733972
863580921 721173506 7300493
794305516 353523624 3635382
360244215 795635309 2456947
573912299 253826683 5450564
645349505 99049016 2879702
289109625 463799497 1410758
565256294 93456241 2457363
376294479 850287976 6100036
166394779 57564722 5079864
874789357 647343110 3154662
269642540 196006684 9503772
224304502 588225042 6137770
73382848 336395357 2099855
504223462 322992803 5063869
232287892 564318706 8650701
513230084 75555764 6084615
519475809 860755926 4690556
304713871 304119768 9197173
682276048 767185993 8792972
517714928 679178309 2673433
611131652 871867532 1357412
122273152 535917009 3909304
733056088 43431350 1115098
866169074 605308488 801854
275196182 36395065 5135468
850391145 882876507 1779833
71091884 829368907 3520179
333890947 38907654 5826814
347594995 598040325 3486018
379756649 410993037 4204751
328776756 353930012 3076713
593323821 425785230 4170660
486024288 745684609 8091387
82228204 643539838 3658280
704014899 736104027 8324328
515324992 826976726 4010688
816936479 55828326 4525322
311814952 52268148 8807934
653817312 698919152 824836
129211798 650715559 429906
530586790 584690818 3291654
392351455 39635417 668212
816217471 423429783 263542
45211064 845632923 6947017
68166109 379804698 4566398
135019985 295597474 1921130
662587176 88681785 1691324
389071939 670393411 8228283
528880515 545863626 7642312
15653645 696223740 4613573
785217044 301029556 7783700
120819334 114603847 6601657
591881996 7682705 1684151
816343252 99198896 4177236
656126204 741565671 7591176
847218461 303490314 4568076
497688648 555054255 6821638
390303153 506190573 8112974
530544339 475250239 10037148
837526424 152798568 3994958
437745199 431433845 1971324
82552476 235419384 4526752
261030995 435222656 7285774
842650341 705439029 4974556
795397262 9869977 1259232
595523534 514647381 2997641
734685405 373809123 3150906
18839820 398512610 7683595
321841764 832891398 5224597
338530201 146557281 2452877
833890351 513609129 565801
171541356 309618896 3475810
287440942 487854677 6817537
685819313 559966731 919939
554319078 256116167 6492070
684108274 363705600 5009300
228811783 664458727 1516614
423871469 303285134 1128707
497481665 815935302 8412808
521900743 457781054 5025315
453083103 818121332 7617280
214792463 311959979 3133874
231530711 458820527 8285553
537529139 641931603 1386144
141271651 383654007 2961221
897775985 428443400 2388882
683054013 821486468 4225308
552054780 14409196 4932072
514267779 581727826 3501397
34501495 378888484 6895843
14269983 635457925 9937988
519317984 444249091 2532455
425282134 139244909 3580619
273915371 783561926 2652420
410222633 592524479 5039165
609618344 650249966 3685352
612919641 723563739 7185704
659319190 106718979 831825
838983761 803401739 5121262
467358051 568632143 9968996
765912073 759454837 3529876
138638267 105882968 1886134
87875628 250539939 1384556
749257869 421074088 6595472
273121816 98213585 6964138
20432557 308268821 8670524
393408046 425781786 1172956
395556621 841748091 8156236
22031008 862808191 2097124
707223973 302931279 2745100
161977291 422738893 2089052
853399736 361802949 8553021
403066181 601729985 1559140
130882298 663997037 2570955
366074116 468821676 4264261
185487836 875898584 7409615
179716433 888345144 2463392
78405464 185168944 4315366
648441286 867263889 5003993
638532186 36033499 4322712
157483010 565655588 3624556
122690440 897683935 412159
321920910 849351123 3364828
707396267 450397129 1561186
705934918 61667309 5005038
201643114 374523109 5929900
855657463 41964449 8944919
21244754 756796507 3079517
33239828 532290459 1708460
778332735 475722711 7876775
205456318 282808070 9085181
850097971 893392387 1802245
157092775 771315914 1799950
900254999 828407083 914146
713557590 894321294 5701186
873166054 148254960 2205703
10618910 740503407 1801832
484819342 689611103 11031405
70702326 410621685 9109556
172026548 539792815 7824146
222031360 511886739 3429552
332429002 220722715 2520357
131014997 158987305 6549726
291621171 766143415 3626344
718552535 636476502 4146170
578437462 827964126 7039648
208682298 562462795 4693109
759459307 486378657 5555872
627834064 413638495 992010
307037368 603859906 7622619
758944164 237421803 850384
730628745 894332350 3832012
904895329 247322640 1093270
792266128 535997046 4834795
144081405 260660098 7385822
385443122 257801212 6630897
96033605 737548334 6553763
500514828 188913001 1392315
80993975 657465271 2596702
829678983 456844864 5187104
550649171 536952196 27362
84619610 586686276 7207579
300060721 506193705 781880
424556364 744537090 8902338
331307813 707354286 192304
262672503 83265959 4375771
316067292 27812536 3238128
653572825 214921120 1779828
62332180 393435185 5556015
759389794 554433455 4745064
136726209 801315369 779816
552572296 548742000 8033459
638461681 253276360 4851161
19106404 339673356 4421605
445352038 76254968 5325643
184568966 665341232 8970345
770488466 259865396 1574403
198947925 588200653 6713320
210634231 746965046 5911439
663697651 887158785 5728842
667218396 56208558 2341233
526669476 683390694 1827885
274970909 559411849 1474074
254017868 292576339 2787922
257360858 233210955 5087031
776484297 766310601 1186116
154017074 107124970 7814347
600099735 82303850 4194351
531857662 716316337 2366696
165392028 365943674 4334201
749462288 773801373 8111624
155916931 198791799 9129523
410535227 160991295 8047803
383849997 535763643 1030717
722899263 206980366 4873873
571618051 464646532 7838648
376713570 367396205 5667496
650834520 386132726 2658842
570366177 724661600 2130559
844094941 329090340 4159305
69691840 444929577 1847379
223270690 803418246 3212446
360910410 806119556 2023910
138737272 638985995 9633428
207988672 632956537 7055470
307748114 409359276 10388813
797661306 888162956 478979
469852034 852044912 2716295
460319342 183316882 6590457
852089007 157621915 6181603
433561504 471724972 1559098
329685664 139315866 447941
736386209 850278926 2212051
171841009 483716302 692117
498632308 640504296 8522950
532272169 214250046 7017996
123664027 807035129 9541423
692488555 88883763 1966209
881861696 561003995 2237270
572265934 780671595 6062797
877628243 8513215 2666827
899629494 501980888 3308602
533326200 393899767 4172891
245635197 73336714 5146710
99288260 179795448 2760851
293616112 371923479 5152950
515049081 693431666 1633337
649981358 849742205 3238026
887505988 279909457 4146651
658283043 38819820 5780854
736614094 693917699 7363650
193623101 171770732 9024894
8283115 898146066 1165819
283131189 293077794 5307950
407100216 178342026 1057428
66250921 296620595 1767749
469416245 727200567 8206776
539041839 91096148 5809612
204367746 875384405 6793023
247339529 445267428 1818846
153801518 444836231 3373503
613206569 252437634 1121434
538301149 791055140 5362785
109435307 773911503 434621
903571391 707962245 3338885
388984283 171335091 4235588
866386403 573539781 6509298
749878898 397832376 7241520
600628978 324081493 9196773
254084820 34498320 4015706
33561932 399353766 458424
509187037 429188708 1152760
728020413 288858595 5117196
805144805 85440749 5442753
713964727 237075256 7144645
728875880 152894587 2259576
696183522 578081734 7332839
154785168 13159771 5562362
350344373 726152797 1348052
865959588 895311449 353858
74448150 232366442 2177200
657610331 673906812 8209062
359101955 631475790 2180386
449601690 416287512 4447220
33952868 244269526 7052272
91744653 456568390 6333830
592335638 589686940 2466972
37223932 410525605 4639457
517331173 515155094 4959351
578485567 182145525 1422828
718007660 439675539 2487974
454937253 721611488 1069060
547341595 752026756 6725993
615346298 810003120 6858596
274385409 455846027 6001980
770663350 421989738 1546349
581707357 213495317 6962662
721259057 623829742 586538
613231061 696616558 7228500
661194115 831678292 5540570
456243779 294195698 7768800
376990184 824617761 4066648
875464386 284000270 2698378
66758846 589717080 5085564
691544424 525522974 5942674
303468456 755380176 8634096
20567301 648309181 1208974
98765824 297922801 2100679
232155755 747615296 6071631
666512574 789877006 3185625
221766598 614684444 5589881
671038881 459806170 4805028
801450152 58146706 3398042
89188686 566606683 726174
94278706 525713476 6160463
382646958 97232990 8976056
249200165 313471444 7932258
548270535 562268125 1640646
436052062 167621765 4962769
226033993 651462555 1180996
229987176 780240307 1398218
644732570 225317304 1739856
777795114 513425152 6672834
305015376 353458092 4768001
386291318 144456019 3269578
128955993 494137902 8793300
313168043 653315739 5201417
12680098 118281214 2425637
448372098 214870085 9438305
5678976 474739971 742207
775861365 406241603 7719262
217011757 326435958 467120
260131448 565210879 5246240
45643145 808303838 7265409
503283599 131758548 3363322
210833655 394364831 7060617
369800438 657132305 4767313
668182059 718645555 8866267
235238572 770688845 2321489
211877838 798478464 430651
779108930 832615640 3998473
305587967 777418600 7363225
570701840 426175222 6452905
634782377 373643108 9297636
342747169 62738335 8263940
715088862 47379250 3936768
364224321 17914022 7278607
337757766 772571288 4678296
340490553 468940351 9649016
594855169 536681520 121215
701449017 803796634 8364616
737394156 760046083 4483574
505866507 836864235 256529
261767184 796039215 9302380
664349583 214799860 30766
53413159 677910034 3396876
514382736 265111034 2456504
444180773 448944197 6676253
422041747 474335615 2471356
364263886 295779854 765834
599816033 412697223 984912
273720002 470771662 772722
404338091 804106881 4810428
510703771 533066250 5496516
903661949 478714794 1091330
788009329 454387943 3993979
554836504 150404501 667713
683442201 319033970 6197012
493769762 244020044 4530816
337768040 735296675 2159704
484971995 712759931 6259360
806868808 768392951 3336900
723158333 128185014 1488360
36545406 167489053 1292886
277670993 156122494 2242514
373231731 304414399 101142
827351054 785248036 4290393
178183298 14074481 10412569
208949450 200131157 6834943
665645586 867790719 7616874
610388112 531927210 6535511
606144925 451503330 8816582
269515410 217304630 2226197
27005412 568246749 941464
122621546 718740703 6447285
744245141 72214620 9670375
907555057 714899559 1853513
396727589 529929888 7221660
250181539 413310514 8804906
700903513 465393521 2036660
55065268 295638971 3226748
462937433 236026293 4596280
897598064 761248941 9159250
230437193 690949431 7891261
682805549 159688954 1836213
597076738 576527308 7554726
463429921 664631901 3752762
252390472 466957002 8504174
358720834 39193696 5821944
905470427 233615837 2875297
625161374 582895479 6424092
683888598 276539518 90044
429792008 325266436 5531709
857868240 300947449 2837071
182125770 214179614 3316831
56077299 663353380 477385
804145381 497054152 10037764
171839927 692234811 7309862
643019704 628815310 6505644
61766581 249752029 681729
324629963 582172037 7170478
798031826 285184113 6862172
425478037 631408011 3953340
644291515 18050640 928909
765821429 733773331 5376506
262060533 47680851 4809896
821652028 236852741 1094873
334593750 545314519 6209579
533082471 233014926 1581944
241447613 619939498 4411524
13219047 176389431 3968336
678430212 878719500 754024
82736106 73857379 4076880
813033737 462535457 6758243
877961012 362022690 9066487
486680108 840209254 6844072
33939431 697260595 3941390
603868216 824890627 2330643
244079436 805714822 4002419
91647678 174240848 1877160
747021088 362086452 8115205
446860720 604505336 4788611
796141990 728964858 2806701
361257348 273392454 8562202
92000818 105404171 462042
226059933 271069703 2788271
167898763 168047862 5061119
392716309 238124078 3602130
777884352 121697937 3252598
730985690 672386695 6384774
272522604 276519789 6133307
590552115 673132471 3519285
649909848 801196509 959403
374534414 621810440 9443879
141337587 590687563 8063279
515225582 597762294 4311750
253338994 130748502 3059515
816905130 811423832 4041493
813659893 830951754 3550415
403461514 885331213 2264059
432344004 127769064 5144367
2773411 692709727 1817931
663353860 190486627 9340804
775880477 16397942 4065200
42468235 290834860 2903288
866779797 454846857 8628660
392213828 713009909 3414248
961885 828713010 184994
561616356 383020382 1250985
157609024 727590767 4429945
606612103 286029573 5048152
38145919 207818073 465641
135811415 68030283 664808
689830714 224171546 3859884
454139807 163764447 5137849
697787262 293019317 2515554
137634803 125294106 2547127
867042283 4571788 2502510
190701438 897897036 8009883
160428649 863588994 2097365
909592739 224115159 352760
292238884 448571200 750764
617469986 610359961 6513745
761360529 504118697 5259022
811195270 419347189 1654712
821711063 672683723 9838366
179142427 149803575 9728966
616861111 289758794 746695
473137373 254666349 1446512
20197976 612384039 8628810
500393290 720935341 206422
65259524 653377488 703842
440708677 295581443 3100663
732663297 102776688 4221699
762418345 644276702 2699620
237590076 60109177 3192892
598538634 835781715 5569240
22708237 873076841 1135295
379285417 227693790 3303008
864820570 551538601 8951280
444604306 400931484 4680766
796026872 512605016 3183303
715091088 844232385 612672
37680279 129227907 6197300
876878664 247156156 5319021
515522268 710814113 5053783
137682152 25032120 7512506
169009809 710042394 1137838
500542395 501619077 5608949
559895352 511974246 4051443
788875975 183528994 8647427
884908605 878844959 6633748
735968053 259992513 5373902
614945830 235685359 8192629
416949335 512846807 7739392
226001876 318774264 210516
81711934 119897325 4132600
683779750 869571703 1570380
524579573 770081890 8077683
489691962 427288023 8440596
777153132 32210340 6986701
837460027 830472143 7247818
780192479 140933707 7394394
29367614 79859358 265194
610888994 402367944 6956033
559448964 447145457 2368734
815761200 211163082 8644718
684870838 115591051 9328318
838026644 631235121 1856276
9326280 207713359 7098024
50023530 278458268 104872
795948370 481192682 2639909
895359268 728928073 4104731
688956830 713173522 3362615
101467132 374710580 1171951
552692131 105486289 5897639
774076838 849887741 8554628
68126136 509808158 890136
125838183 104555444 613555
65100440 285538481 3273320
863101394 184469612 8769327
244723331 2459094 244020
718174141 376450319 4539120
688439840 205332255 7951128
504308371 776823191 2828623
114734029 251437193 5507500
31126918 754515727 2525090
582767592 649566176 6079455
901208474 23922147 1284832
515543314 566392759 4975433
597538578 257812918 4286433
796263315 98941005 2246957
377700047 160917063 1255552
310021579 497027105 8812821
585154436 526479971 1338315
178246188 778263867 1335635
249008413 829690195 5755524
784194868 561793405 9565612
186169957 757186094 4942954
233193577 392753511 8858610
257093327 536245588 3148688
352712509 885036205 6602299
878931736 262088644 5967029
426798623 384062750 5498988
540944338 113620014 362515
83357680 608592086 5976000
691396212 718921387 503996
